Species,Family,locomotion,hunting,diet,diet2,diet_functional,bayou_reg_size,bayou_reg_hbER,bayou_reg_headER,bayou_reg_AEI_S,bayou_reg_rib_sc,geomean,hbER,headER,bodyER,AEI_C,AEI_T,AEI_L,AEI_S,hindlimb_len,forelimb_len,body_length,avgRibLength,ln_se_geomean,ln_se_hbER,ln_se_headER,ln_se_headER.1,ln_se_bodyER,ln_se_AEI_C,ln_se_AEI_T,ln_se_AEI_L,ln_se_AEI_S,ln_se_avgRibLength
Nandinia_binotata,01Nandiniidae,arboreal,occasional,herbivore,mesocarnivore,soft,base,feliformia,base,base,feliformia,76.57737639,6.141625963,3.458291964,4.820456643,3.933861189,6.374260481,5.709788375,1.441237938,168.9233333,137.1966667,346.3066667,72,0.015991906,0.037133906,0.011291305,0.011291305,0.034928097,0.043076942,0.057942867,0.022180074,0.028489541,0.033178722
Prionodon_linsang,02Prionodontidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,56.82098909,7.48052343,3.48066497,6.016441357,5.399034603,6.886004319,7.314071066,1.668476088,124.7866667,99.75,293.7766667,49.26666667,0.026790135,0.060053695,0.024844829,0.024844829,0.061663102,0.020148687,0.039029168,0.025346609,0.00550204,0.07265609
Acinonyx_jubatus,03Felidae,terrestrial,pursuit,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,187.2960613,5.195541788,2.500101459,4.401429461,4.291687329,5.077424751,4.826176409,2.012071126,527.8,470,875.74,199.34,0.026921059,0.024251739,0.013960098,0.013960098,0.025449549,0.029688101,0.037233512,0.026142479,0.048229992,0.026275642
Caracal_aurata,03Felidae,terrestrial,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,127.4549664,5.933567799,2.69175472,4.851517606,3.655901419,5.423623247,5.865886471,1.925306035,332,270.36,594.16,122.5,0.017059072,0.01744956,0.028915035,0.028915035,0.015553779,0.005814493,0.083022136,0.039082446,0.120783401,0.016327981
Caracal_caracal,03Felidae,semi_arboreal,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,104.0932716,5.819160295,2.571860173,4.812415343,3.959431114,5.457870794,5.908831748,2.079785256,295.2233333,242.82,501.1733333,104.6,0.019281436,0.0489982,0.020999477,0.020999477,0.054722889,0.003112173,0.018821814,0.027357733,0.041423519,0.041949886
Catopuma_temminckii,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,110.6325997,6.152148493,2.475273917,5.041901988,3.77288359,5.075396364,5.620414809,1.893797289,297.0166667,242.6966667,509.6833333,101.1,0.017019141,0.008792518,0.054637471,0.054637471,0.007060255,0.044848855,0.024974172,0.021336655,0.033176223,0.021813257
Felis_chaus,03Felidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,95.75454319,6.018099405,2.620223625,4.9441,3.680642291,5.454742374,5.807736268,1.709406232,252.17,219.125,455.075,93.5,0.110873266,0.08216498,0.056937034,0.056937034,0.078862951,0.031370275,0.029076994,0.002619884,0.030217312,0.200505379
Felis_margarita,03Felidae,semi_fossorial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,79.83443279,5.61691358,2.593270366,4.532222222,3.279015785,5.480178454,6.141136088,1.788285109,224.14,199.44,367.11,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis_nigripes,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,60.45060118,5.567611336,2.231773321,4.432388664,3.531357225,5.666612084,6.570133541,1.595744681,162.09,145.05,273.7,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis_silvestris,03Felidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,87.81000787,5.330763829,2.541524575,4.3079975,3.462643385,5.06373083,5.439181929,1.384165253,220.705,196.5375,388.3925,90.275,0.051207124,0.022717512,0.020060762,0.020060762,0.021515477,0.028983319,0.021683069,0.029462735,0.049638031,0.049844725
Herpailurus_yagouaroundi,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,97.59695202,5.72270588,2.56989774,4.73872354,4.057694561,5.768904841,5.579049185,2.136197939,236.4466667,183.5733333,466.8633333,99.03333333,0.078435274,0.033556542,0.035989981,0.035989981,0.029743148,0.037278825,0.03620336,0.03376674,0.107053055,0.095554916
Leopardus_colocolo,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,84.26312155,5.437096553,2.423791447,4.444473665,3.585730375,5.554089675,5.581340745,1.734146047,221.685,194.415,383.1,86.3,0.063968807,0.008676777,0.114710553,0.114710553,0.005896368,0.03726407,0.049909921,0.00239052,0.069658238,0.104667928
Leopardus_geoffroyi,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,93.35310182,5.677011973,2.612048781,4.628043999,3.449496523,5.55917075,5.91344126,1.861905754,233.89,195.706,430.9343333,93.48,0.038418389,0.028880868,0.02205459,0.02205459,0.028714605,0.024150126,0.018643188,0.022651729,0.031874982,0.046260765
Leopardus_pardalis,03Felidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,119.2158887,5.98051629,2.662872053,4.869224328,3.612372487,5.336018961,5.249956737,1.791606604,282.012,238.422,539.808,111.32,0.050519244,0.020808166,0.017347847,0.017347847,0.02241137,0.026394546,0.024050522,0.057685058,0.033107141,0.058041773
Leopardus_tigrinus,03Felidae,semi_arboreal,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,75.63718345,6.650260857,2.537169476,5.451731953,3.908296955,5.759313152,6.26238414,1.790081891,194.265,161.045,361.47,66.15,0.088624951,0.030714508,0.018049696,0.018049696,0.034882438,0.002460829,0.013114276,0.080110979,0.001155966,0.078011232
Leopardus_wiedii,03Felidae,semi_arboreal,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,90.94908439,5.961050902,2.534425237,4.887030928,3.886210181,5.864826371,6.049401181,1.925605891,241.03,197.2,431.95,88.5,0.075593811,0.017922265,0.036323044,0.036323044,0.013294964,0.02035521,0.013053617,0.013639324,0.011149845,0.096342172
Leptailurus_serval,03Felidae,semi_arboreal,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,123.5597075,6.147806249,2.454255359,5.133158195,4.051178134,5.209286305,5.666989246,1.750269113,358.6666667,316.39,586.6733333,114.5333333,0.042427486,0.022059751,0.0521425,0.0521425,0.023197827,0.023270295,0.013964537,0.011875904,0.070979292,0.045658399
Lynx_canadensis,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,123.9641003,5.70048092,2.433854857,4.747110524,3.634452234,5.504059003,6.37331691,1.853892488,385.4,313.53,588.918,124.02,0.023704771,0.010299686,0.010542258,0.010542258,0.012362155,0.079709743,0.013209668,0.029692954,0.103573707,0.02231628
Lynx_lynx,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,142.5724631,5.304942717,2.655120764,4.376563011,3.542476425,4.987015622,5.568100013,2.288682582,443,356,668.52,152.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynx_pardinus,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,120.2718978,5.493496933,2.617873652,4.520654397,3.650746846,5.08109478,5.91190947,1.797520661,345,278.93,552.65,122.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynx_rufus,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,111.1028332,5.781212771,2.525859787,4.773551985,3.856426149,5.149811741,5.959463476,1.946645985,318.79,271.656,528.082,111.02,0.020179895,0.025574145,0.020709014,0.020709014,0.027953514,0.030059162,0.021962007,0.029641517,0.075781734,0.033320856
Neofelis_nebulosa,03Felidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,131.6472539,5.722657532,2.890407783,4.572971648,3.650178856,5.511928601,5.202256598,2.086578748,319.055,260.855,598.405,131.15,0.006620722,0.042364496,0.009380233,0.009380233,0.045661792,0.020986912,0.042297592,0.0188788,0.063371275,0.044635032
Otocolobus_manul,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,75.60554105,5.458816392,2.236194179,4.424228188,3.34777879,5.33348123,5.502617216,1.67388477,202.15,183.745,331.935,75,0.020928887,0.045378172,0.003632976,0.003632976,0.053341594,0.061757154,0.111480989,0.085599321,0.009990844,0.006666765
Panthera_leo,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,280.6434317,4.813427363,3.006874878,3.864072094,3.807940171,4.537208157,4.300938224,1.562446945,622.5,577.25,1182.005,306.775,0.049541713,0.015454462,0.026319678,0.026319678,0.016161557,0.019191837,0.029147799,0.01508032,0.031663689,0.060843436
Panthera_onca,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,213.8723259,4.785165793,2.865877001,3.772403656,3.548783614,4.595160768,4.192482743,1.509721822,463.3333333,403,877.6025,233.525,0.031109839,0.031562148,0.023931878,0.023931878,0.033418962,0.057365874,0.022738613,0.029097279,0.047515855,0.042043852
Panthera_pardus,03Felidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,183.3615774,5.390385267,3.117528625,4.324847658,3.612264611,4.76536938,4.544235836,1.658393829,451.8,381.2,799.7761833,185.62,0.034073083,0.032563422,0.021764734,0.021764734,0.035752653,0.029150432,0.016510434,0.036548889,0.042884868,0.042221343
Panthera_tigris,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,277.3119885,5.380999484,2.886749257,4.333949079,3.735857263,4.428735218,4.149882555,1.78539591,634,546.25,1183.94875,274.025,0.037930921,0.02358182,0.016571074,0.016571074,0.02639146,0.026138726,0.017665988,0.011034473,0.050683001,0.047650137
Panthera_uncia,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,171.0514525,5.386427088,2.823517401,4.391939583,3.525655681,5.151501914,4.650665098,1.679067989,434.2,367.6,755.534,172.32,0.020727563,0.017342648,0.010421332,0.010421332,0.017900289,0.013303987,0.013792861,0.02134387,0.046884478,0.029094522
Pardofelis_marmorata,03Felidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,81.41964327,6.091691614,2.360405888,4.937072542,3.59771174,5.798662565,5.298691577,1.792245576,240.72,194.7566667,367.2533333,74.83333333,0.067979374,0.032893062,0.01386108,0.01386108,0.032319056,0.014231894,0.016631244,0.040459507,0.041733623,0.096882318
Prionailurus_bengalensis,03Felidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,84.42306375,5.96841965,2.493493022,4.909132657,3.908813952,6.018846513,6.190838469,1.878184079,218.9766667,182.6766667,403.61,82.36666667,0.029929164,0.022725543,0.028834054,0.028834054,0.027125851,0.01562598,0.040073951,0.067280745,0.035023949,0.038674281
Prionailurus_planiceps,03Felidae,terrestrial,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,77.90960867,6.194542428,2.306580716,4.89595605,4.196269292,5.808905942,6.668027076,1.625190899,190.4,159.49,354.99,72.5,0.033373075,0.008289419,0.302408058,0.302408058,0.013557471,0.079078924,0.008453115,0.007138093,0.042964097,0.006896661
Prionailurus_rubiginosus,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,66.57835279,5.504962406,2.430931459,4.464962406,3.434741704,4.817890013,6.10144809,1.366827254,166.87,138.83,296.92,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prionailurus_viverrinus,03Felidae,terrestrial,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,114.3311763,5.56300251,2.794215306,4.499215189,3.68223463,5.368319095,5.300477002,1.83927618,278.71,226.105,522.27,116.15,0.038394973,0.004509897,0.016756543,0.016756543,0.00730712,0.027022581,0.027324849,0.039309792,0.051804779,0.052998338
Puma_concolor,03Felidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,195.1284743,5.383835481,2.883773313,4.459115978,3.625089962,4.956417337,4.792156621,1.808400912,507,408.4,891.1236198,201.86,0.039889592,0.038956079,0.004961231,0.004961231,0.040837438,0.021764295,0.031430115,0.02690506,0.024168226,0.069431218
Arctictis_binturong,04Viverridae,arboreal,occasional,herbivore,mesocarnivore,soft,base,feliformia,base,base,feliformia,118.044899,4.923953061,3.42546942,3.853033689,3.57933124,6.566014626,4.316873251,1.295480566,250.1775,243.3325,503.2675,130.95,0.036746734,0.054170164,0.028107065,0.028107065,0.059886687,0.044488174,0.033857446,0.047666285,0.098683353,0.035722741
Arctogalidia_trivirgata,04Viverridae,arboreal,occasional,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,80.55540372,6.286623377,2.909456201,4.876103896,4.536442688,7.681930909,5.396773918,1.864101022,179.28,140.8,375.46,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrotogale_owstoni,04Viverridae,semi_arboreal,occasional,omnivore,omnivore,invertebrates,base,feliformia,base,base,feliformia,88.99676296,6.503803681,3.563743071,5.162699387,4.965736041,5.913389851,6.044222238,1.866275972,184.61,153.91,420.76,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Civettictis_civetta,04Viverridae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,135.9648848,5.021456458,3.539307495,4.00620217,4.299227725,5.330679625,5.030491341,1.686927344,277.655,237.065,606.8225,151.425,0.026585154,0.008451689,0.068535094,0.068535094,0.012971296,0.017504638,0.068225253,0.033761356,0.049708753,0.031384972
Cynogale_bennettii,04Viverridae,semi_aquatic,aquatic,aquatic,omnivore,invertebrates,base,feliformia,base,base,feliformia,96.02389852,5.3786,3.342126697,4.22045,4.147508316,5.983724267,4.178640316,1.895658924,186.915,155.69,422.045,100,0.015079901,0.01652997,0.039601795,0.039601795,0.015580168,0.0235237,0.026637595,0.038056458,0.039196882,0
Genetta_angolensis,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,genetta,base,base,feliformia,76.03108737,6.832301887,3.218096611,5.484830189,4.881375864,5.900735825,6.274789523,1.699017199,194.49,156.74,363.37,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_genetta,04Viverridae,semi_arboreal,pounce,carnivore,mesocarnivore,vert_flesh,base,genetta,base,base,feliformia,70.33169636,6.687968392,3.446150131,5.285152078,4.223636478,5.904803798,6.259384371,1.698151547,161.766,133.688,329.392,62.38,0.025742857,0.018888268,0.00904378,0.00904378,0.020033089,0.039991789,0.018686991,0.047570906,0.069810141,0.02780258
Genetta_maculata,04Viverridae,semi_arboreal,pounce,carnivore,mesocarnivore,vert_flesh,base,genetta,base,base,feliformia,72.15436279,6.815517457,3.246975828,5.444174392,4.525858365,6.010855243,6.26752318,1.830344242,165.6925,132.305,345.6175,63.45,0.03482457,0.018455549,0.012132811,0.012132811,0.020164943,0.020454357,0.026737598,0.019269296,0.031468431,0.029297392
Genetta_servalina,04Viverridae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,genetta,base,base,feliformia,73.50449158,7.909603524,3.314814815,6.332511013,4.782888954,6.128212606,6.815305049,1.533094812,172.78,135.92,359.37,56.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_thierryi,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,genetta,base,base,feliformia,65.38830793,6.520005188,3.143813827,5.194320399,4.339475796,6.120596044,5.999628755,1.942929367,151.86,117.595,311.88,60.15,0.018207598,0.080861415,0.016613764,0.016613764,0.094562728,0.013043591,0.094683377,0.194600817,0.040725582,0.014132279
Genetta_tigrina,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,genetta,base,base,feliformia,74.32491143,6.174125874,3.377421759,4.906293706,4.355891997,5.874991084,6.291518998,1.826855124,168.5,142.4,350.8,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_victoriae,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,genetta,base,base,feliformia,82.35214498,6.598926174,3.707368421,5.180671141,4.175156667,6.095548034,5.91020963,1.653158522,181.44,156.41,385.96,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemigalus_derbyanus,04Viverridae,semi_arboreal,occasional,insectivore,omnivore,invertebrates,base,feliformia,base,base,feliformia,75.51182824,6.321111111,3.572226359,4.988472222,5.00203252,6.336701119,6.152680653,1.948666667,163.23,136.91,359.17,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paguma_larvata,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,96.56679461,5.804904085,3.540134605,4.502719195,4.037742759,5.811825558,5.114191278,1.873678035,201.815,169.93,423.84,94.75,0.091104674,0.052524521,0.004297176,0.004297176,0.057758347,0.094266865,0.080147458,0.145773434,0.047197493,0.113947077
Paradoxurus_hermaphroditus,04Viverridae,arboreal,occasional,herbivore,mesocarnivore,soft,base,feliformia,base,base,feliformia,82.96261742,6.237964292,3.314410665,4.825193714,4.044004193,5.797324296,5.43268383,1.659528592,170.66,144.3833333,365.49,75.7,0.06798484,0.021162856,0.021547478,0.021547478,0.024984066,0.039202043,0.038710536,0.03868357,0.101446938,0.071526385
Paradoxurus_zeylonensis,04Viverridae,arboreal,occasional,herbivore,mesocarnivore,soft,base,feliformia,base,base,feliformia,87.06124865,5.880969697,3.235294118,4.547636364,4.036755972,5.844194926,5.059624791,1.566829268,180.7,148,375.18,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viverra_tangalunga,04Viverridae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,100.4294412,5.596540153,3.63192614,4.476308883,4.455462725,5.913166988,5.027115265,1.814450471,194.9625,160.725,466.705,104.25,0.018218234,0.024670491,0.022632213,0.022632213,0.030409459,0.013994634,0.040459682,0.045582689,0.117999552,0.021848963
Viverra_zibetha,04Viverridae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,130.4468513,5.685907236,3.407242925,4.584051948,4.251274653,5.430174632,5.040249785,1.621265742,259.265,206.5,589.585,128.65,0.012681904,0.011624485,0.048695114,0.048695114,0.00137769,0.012546404,0.027987778,0.080845514,0.038545616,0.047840584
Viverricula_indica,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,vert_flesh,base,feliformia,base,base,feliformia,88.38304365,6.00968268,3.349143681,4.840462962,4.365340018,5.812817797,5.111529547,1.627530845,175.18,135.245,402.855,83.9,0.043152676,0.079888888,0.004205583,0.004205583,0.075325533,0.004892725,0.007443072,0.025876894,0.080393132,0.102864255
Crocuta_crocuta,05Hyaenidae,terrestrial,pursuit,carnivore,cat-hyper,vert_flesh,base,hyaendiae,base,base,hyaendiae,219.1705886,3.416221067,2.373289211,2.6556441,3.759862621,4.572870087,2.057016691,2.052678836,433.6,439.6,843.408,318.72,0.012430812,0.034512715,0.020228875,0.020228875,0.037682187,0.019579742,0.095483433,0.079810898,0.08088236,0.027167936
Hyaena_hyaena,05Hyaenidae,terrestrial,pounce,carnivore,cat-hyper,tough,base,hyaendiae,base,base,hyaendiae,175.6695976,3.523985804,2.423670487,2.678216016,3.900015992,5.109919181,2.080833997,1.372010885,399,404.6666667,690.3166667,257.7666667,0.006728,0.010859852,0.006750843,0.006750843,0.011714632,0.071931915,0.031905192,0.031409079,0.084538754,0.005702957
Parahyaena_brunnea,05Hyaenidae,terrestrial,occasional,carnivore,cat-hyper,vert_flesh,base,hyaendiae,base,base,hyaendiae,175.9417276,3.419298578,2.231858181,2.755791469,3.942025133,4.504252847,2.658195999,1.419354839,400,415,726.84,263.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proteles_cristata,05Hyaenidae,terrestrial,occasional,insectivore,cat-hyper,invertebrates,base,hyaendiae,base,base,hyaendiae,110.2637474,4.184179985,3.371420083,3.24768659,5.401957136,5.199195335,2.912053663,1.550498375,258.895,252.035,477.38,147.05,0.00761232,0.012324701,0.003606227,0.003606227,0.007372432,0.071454522,0.050375367,0.057511801,0.017867561,0.008500715
Cryptoprocta_ferox,06Eupleridae,semi_arboreal,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,109.920748,5.51840708,3.588709677,4.33699115,4.267862542,5.578103597,4.54207094,1.716507177,269.9,216.4,490.08,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
